cites,authors,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl
2535,"A. Vansteenkiste, J. Leliaert, M. Dvornik, F. García-Sánchez, B. Waeyenberge",The design and verification of MuMax3,2014,,,,,497,8/22/24 15:04,,10.1063/1.4899186,,,,,,,2535,253.5,507,5,10,"We report on the design, verification and performance of MUMAX3, an open-source GPU-accelerated micromagnetic simulation program. This software solves the time- and space dependent magnetization evolution in nano- to micro scale magnets using a finite-difference discretization. Its high performance and low memory requirements allow for large-scale simulations to be performed in limited time and on inexpensive hardware. We verified each part of the software by comparing results to analytical values where available and to micromagnetic standard problems. MUMAX3 also offers specific extensions like MFM image generation, moving simulation window, edge charge removal and material grains.",,
2157,"Juerg Hutter, M. Iannuzzi, F. Schiffmann, J. VandeVondele",cp2k: atomistic simulations of condensed matter systems,2014,,,,,511,8/22/24 15:04,,10.1002/wcms.1159,,,,,,,2157,215.7,539,4,10,"cp2k has become a versatile open‐source tool for the simulation of complex systems on the nanometer scale. It allows for sampling and exploring potential energy surfaces that can be computed using a variety of empirical and first principles models. Excellent performance for electronic structure calculations is achieved using novel algorithms implemented for modern and massively parallel hardware. This review briefly summarizes the main capabilities and illustrates with recent applications the science cp2k has enabled in the field of atomistic simulation. WIREs Comput Mol Sci 2014, 4:15–25. doi: 10.1002/wcms.1159",,
1537,"A. Edelstein, Mark A. Tsuchida, Nenad Amodaj, H. Pinkard, R. Vale, N. Stuurman",Advanced methods of microscope control using μManager software.,2014,,,,,496,8/22/24 15:04,,10.14440/JBM.2014.36,,,,,,,1537,153.7,256,6,10,"μManager is an open-source, cross-platform desktop application, to control a wide variety of motorized microscopes, scientific cameras, stages, illuminators, and other microscope accessories. Since its inception in 2005, μManager has grown to support a wide range of microscopy hardware and is now used by thousands of researchers around the world. The application provides a mature graphical user interface and offers open programming interfaces to facilitate plugins and scripts. Here, we present a guide to using some of the recently added advanced μManager features, including hardware synchronization, simultaneous use of multiple cameras, projection of patterned light onto a specimen, live slide mapping, imaging with multi-well plates, particle localization and tracking, and high-speed imaging.",,
1070,"Hans Joachim Ferreau, C. Kirches, A. Potschka, H. Bock, M. Diehl",qpOASES: a parametric active-set algorithm for quadratic programming,2014,,,,,932,8/22/24 15:04,,10.1007/s12532-014-0071-1,,,,,,,1070,107,214,5,10,,,
790,"R. Kikinis, S. Pieper, K. Vosburgh","3D Slicer: A Platform for Subject-Specific Image Analysis, Visualization, and Clinical Support",2014,,,,,934,8/22/24 15:04,,10.1007/978-1-4614-7657-3_19,,,,,,,790,79,263,3,10,,,
454,"P. Kazanzides, Zihan Chen, A. Deguet, G. Fischer, R. Taylor, S. DiMaio",An open-source research kit for the da Vinci® Surgical System,2014,,,,,296,8/22/24 15:04,,10.1109/ICRA.2014.6907809,,,,,,,454,45.4,76,6,10,"We present a telerobotics research platform that provides complete access to all levels of control via open-source electronics and software. The electronics employs an FPGA to enable a centralized computation and distributed I/O architecture in which all control computations are implemented in a familiar development environment (Linux PC) and low-latency I/O is performed over an IEEE-1394a (FireWire) bus at speeds up to 400 Mbits/sec. The mechanical components are obtained from retired first-generation da Vinci ® Surgical Systems. This system is currently installed at 11 research institutions, with additional installations underway, thereby creating a research community around a common open-source hardware and software platform.",,
422,"Liqun Li, Pan Hu, Chunyi Peng, G. Shen, Feng Zhao",Epsilon: A Visible Light Based Positioning System,2014,,,,,968,8/22/24 15:04,,,,,,,,,422,42.2,84,5,10,"Exploiting the increasingly wide use of Light-emitting Diode (LED) lighting, in this paper, we study the problem of using visible LED lights for accurate localization. The basic idea is to leverage the existing lighting infrastructure and apply trilateration to localize any devices with light sensing capability (e.g., a smartphone), using LED lamps as anchors. Through the design of Epsilon, we identify and tackle several technique challenges. In particular, we establish and experimentally verify the optical channel model for localization. We adopt BFSK and channel hopping to enable reliable location beaconing from multiple, uncoordinated light sources over the shared optical medium. We handle realistic situations towards robust localization, for example, we exploit user involvement to resolve the ambiguity in case of insufficient LED anchors. We have implemented the Epsilon system and evaluated it with a small scale hardware testbed as well as moderate-size simulations. Experimental results confirmed the effectiveness of Epsilon: the 90th percentile accuracies are 0.4m, 0.7m and 0.8m for three typical office environments. Even in the extreme situation with a single light, the 90th percentile accuracy is 1.1m. We believe that visible light based localization is promising to significantly improve the positioning accuracy, despite few open problems in practice.",,
399,"Gonçalo Lopes, N. Bonacchi, João Frazão, J. P. Neto, B. V. Atallah, S. Soares, Luís Moreira, Sara Matias, P. Itskov, Patrícia A. Correia, Roberto E. Medina, Lorenza Calcaterra, Elena Dreosti, Joseph J. Paton, A. R. Kampff",Bonsai: an event-based framework for processing and controlling data streams,2014,,,,,543,8/22/24 15:04,,10.3389/fninf.2015.00007,,,,,,,399,39.9,40,15,10,"The design of modern scientific experiments requires the control and monitoring of many parallel data streams. However, the serial execution of programming instructions in a computer makes it a challenge to develop software that can deal with the asynchronous, parallel nature of scientific data. Here we present Bonsai, a modular, high-performance, open-source visual programming framework for the acquisition and online processing of data streams. We describe Bonsai’s core principles and architecture and demonstrate how it allows for flexible and rapid prototyping of integrated experimental designs in neuroscience. We specifically highlight different possible applications which require the combination of many different hardware and software components, i0ncluding behaviour video tracking, electrophysiology and closed-loop control of stimulation parameters.",,
390,P. Kazanzidesf,An open-source research kit for the da Vinci® Surgical System,2014,Proceedings - IEEE International Conference on Robotics and Automation,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929190495&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929190495&origin=inward,3,8/22/24 16:58,Conference Paper,10.1109/ICRA.2014.6907809,1050-4729,https://api.elsevier.com/content/abstract/scopus_id/84929190495,,,6434,6439,390,39,390,1,10,,,
364,"D.M. Coleman, I. Sucan, Sachin Chitta, N. Correll",Reducing the Barrier to Entry of Complex Robotic Software: a MoveIt! Case Study,2014,,,,,546,8/22/24 15:04,,10.6092/JOSER_2014_05_01_P3,,,,,,,364,36.4,91,4,10,"Developing robot agnostic software frameworks involves synthesizing the disparate fields of robotic theory and software engineering while simultaneously accounting for a large variability in hardware designs and control paradigms. As the capabilities of robotic software frameworks increase, the setup difficulty and learning curve for new users also increase. If the entry barriers for configuring and using the software on robots is too high, even the most powerful of frameworks are useless. A growing need exists in robotic software engineering to aid users in getting started with, and customizing, the software framework as necessary for particular robotic applications. In this paper a case study is presented for the best practices found for lowering the barrier of entry in the MoveIt! framework, an open-source tool for mobile manipulation in ROS, that allows users to 1) quickly get basic motion planning functionality with minimal initial setup, 2) automate its configuration and optimization, and 3) easily customize its components. A graphical interface that assists the user in configuring MoveIt! is the cornerstone of our approach, coupled with the use of an existing standardized robot model for input, automatically generated robot-specific configuration files, and a plugin-based architecture for extensibility. These best practices are summarized into a set of barrier to entry design principles applicable to other robotic software. The approaches for lowering the entry barrier are evaluated by usage statistics, a user survey, and compared against our design objectives for their effectiveness to users.",,
