Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"A. Badon, L. Andrique, A. Mombereau, L. Rivet, A. Boyreau, P. Nassoy, G. Recher","The <i>Incubascope</i>: a simple, compact and large field of view microscope for long-term imaging inside an incubator",2022,"Royal Society Open Science","Royal Soc","","",605,"2024-08-22 16:58:01","Article","10.1098/rsos.211444","2054-5703","",9,2,,,1,0.50,0,7,2,"Optical imaging has rapidly evolved in the last decades. Sophisticated microscopes allowing optical sectioning for three-dimensional imaging or sub-diffraction resolution are available. Due to price and maintenance issues, these microscopes are often shared between users in facilities. Consequently, long-term access is often prohibited and does not allow to monitor slowly evolving biological systems or to validate new models like organoids. Preliminary coarse long-term data that do not require acquisition of terabytes of high-resolution images are important as a first step. By contrast with expensive all-in-one commercialized stations, standard microscopes equipped with incubator stages offer a more cost-effective solution despite imperfect long-run atmosphere and temperature control. Here, we present the Incubascope, a custom-made compact microscope that fits into a table-top incubator. It is cheap and simple to implement, user-friendly and yet provides high imaging performances. The system has a field of view of 5.5 x 8 mm(2), a 3 mu m resolution, a 10 frames per second acquisition rate, and is controlled with a Python-based graphical interface. We exemplify the capabilities of the Incubascope on biological applications such as the hatching of Artemia salina eggs, the growth of the slime mould Physarum polycephalum and of encapsulated spheroids of mammalian cells.","",""
8,"A. Bekasiewicz, B. Pankiewicz, M. Wojcikowski, M. Klosowski, S. Koziel","Application of Open-Hardware-Based Solutions for Rapid Transition From Stationary to the Remote Teaching Model During Pandemic",2021,"Ieee Transactions On Education","Ieee-Inst Electrical Electronics Engineers Inc","","",302,"2024-08-22 16:58:01","Article","10.1109/TE.2020.3043479","0018-9359","",64,3,299,307,8,2.67,2,5,3,"Contribution: While research indicates usefulness of remote laboratories in teaching of digital hardware systems, their main application is to complement stationary classes. This work presents a low-cost, scalable architecture that supports rapid transformation of teaching to a model based solely on remote access mechanisms. Background: Adaptation of online laboratory solutions from the literature to en-masse teaching of digital circuits is time-consuming and expensive. Solutions that permit cheap and rapid conversion of courses to remote environments seem to be of high value, especially when social distancing renders direct teaching impossible. Intended Outcomes: Demonstration of a flexible and cheap architecture that permits rapid transformation of digital circuits laboratories to the remote environment. Validation of system's performance and usefulness on a large group of students. Application Design: Remote digital circuits laboratories from the literature are designed to complement stationary classes. For successful teaching during pandemic, a low-cost, flexible, and efficient solution to online laboratory based on commonly available technologies is required. Findings: The proposed remote laboratory architecture enables rapid conversion of on-site teaching to online model, while supporting in-situupgrades and functionality enhancements. The presented solution proved to be a convenient substitute for conventional laboratories during pandemic.","",""
0,"A. Cuppens, G. Menesse, E. Caligaris, O. Marecos, G. Wyseure","A low-cost, open-source autonomous surface vehicle as a multipurpose waste stabilization pond monitoring platform",2019,"Journal Of Water Sanitation And Hygiene For Development","Iwa Publishing","","",765,"2024-08-22 16:58:01","Article","10.2166/washdev.2018.110","2043-9083","",9,1,172,180,0,0.00,0,5,5,"Although waste stabilization ponds (WSPs) are widely used in developing countries, monitoring data on their operational performance are scarce. Traditional methods for monitoring in-pond conditions, i.e. conducting hand held measurements from a small boat or installing fixed sensor networks, are not straightforward to realize and create an unhealthy working environment for field workers. A promising technology for the safe and efficient collection of monitoring data is a compact autonomous surface vehicle (ASV), capable of autonomous navigation along a predefined trajectory based on geographic coordinates and measurements in different places and depths. In this practical paper, the development process, technical details and functional testing results of a low-cost ASV for WSP monitoring are presented. Commonly available construction materials and electronic components were used to ensure affordability and reparability. The access to online tutorials and peer-support was crucial for assembling the open-source autopilot and data logger. The ASV demonstrated satisfactory performance for both the autonomous navigation as well as the georeferenced data logging of measurements at a real-scale WSP in Paraguay. This study demonstrates how the adoption of open-source hardware and software offers the flexibility for the wastewater professionals to develop customized DIY solutions for specific monitoring applications and working environments.","",""
7,"A. J. Harvie, T. W. Phillips, J. C. deMello","A high-resolution polarimeter formed from inexpensive optical parts",2020,"Scientific Reports","Nature Portfolio","","",326,"2024-08-22 16:58:01","Article","10.1038/s41598-020-61715-7","2045-2322","",10,1,,,7,1.75,2,3,4,"We describe a high resolution laser polarimeter built from commodity optical components. The optical rotation angle is determined by measuring the phase difference between two harmonically modulated polarised laser beams - an 'object beam' that passes through the sample under test and a 'reference beam' that bypasses the sample. The complete polarimeter may be assembled from low cost off-the-shelf parts for less than 300 pound (UK Sterling). Data acquisition and analysis are carried out on a microcontroller running an efficient algorithm based on the sliding Discrete Fourier Transform. Despite its low cost, the polarimeter is a fully automatic, research-grade instrument with an accuracy of +/- 0.0013 degrees and a precision of +/- 0.0028 degrees - comparable to far costlier commercial instruments. The polarimeter's ease of use, compact size, fast measurement times and high angular resolution make it a capable and versatile tool for analytical science, while its low cost means it is ideally suited for use in resource-constrained environments and process monitoring. The polarimeter is released here as open hardware, with technical diagrams, a full parts list, and source code for its firmware included as Supplementary Information.","",""
74,"A. Martin-Garin, J. A. Millan-Garcia, A. Bairi, J. Milian-Medel, J. M. Sala-Lizarraga","Environmental monitoring system based on an Open Source Platform and the Internet of Things for a building energy retrofit",2018,"Automation In Construction","Elsevier Science Bv","","",27,"2024-08-22 16:58:01","Article","10.1016/j.autcon.2017.12.017","0926-5805","",87,,201,214,74,12.33,15,5,6,"This paper deals with the design and development of a low cost building environmental monitoring system, and it is based on Open Source Platforms and on the Internet of Things. To achieve this aim, a wireless micro-controller with attached sensors has been used to collect the environmental data. The information obtained from the sensors is collected and stored in a flash memory card, and simultaneously is sent via WiFi to the cloud. This data is stored in an online spreadsheet, which permits us to access the information in real time. On the other hand, a comparative analysis of the results obtained from sensors has been carried out, thanks to which several guidance guidelines have been developed for the selection of the most appropriate environmental sensor for each project. Finally, an additional evaluation of the device has been carried out through the analysis of its energy performance and providing information related to the data storage and its cost of development. The current research shows a clear ability to develop monitoring systems for the building sector, which can also be extended to multiple applications of Smart Environments. The development of projects through these platforms will allow future research to tackle the existing barriers in monitoring campaigns.","",""
20,"A. S. Samokhin","Syringe Pump Created using 3D Printing Technology and Arduino Platform",2020,"Journal Of Analytical Chemistry","Pleiades Publishing Inc","","",138,"2024-08-22 16:58:01","Article","10.1134/S1061934820030156","1061-9348","",75,3,416,421,20,5.00,20,1,4,"An open-source syringe pump has been developed for use in the analytical laboratory. Most pump parts are made on a 3D printer. Other parts (lead screw, guide rods, stepper motor, bearings, electronic components) are purchased in specialized stores. The control panel is based on the Arduino UNO. Device interaction, any settings changes, and operating mode selection are carried out using the LCD Keypad Shield (no computer connection required). The program for the microcontroller is written in Arduino IDE. Assembling the syringe pump takes several hours and requires almost no soldering. Universal clamp allows installing any syringe with a diameter of 6 to 25 mm. The syringe pump can both infuse the liquid and refill the empty syringe. To evaluate the analytical characteristics, a 10-mL glass syringe (Kloehn) was used. The dispensed volume was 1 and 5 mL. The systematic error was less than 0.1%, and the random one was less than 3 mu L. Project files are available at: http://www.mass-spec.ru/projects/diy/syringe_pump/eng/..","",""
45,"Abdelakram Hafid, Sara Benouar, Malika Kedir-talha, Farhad Abtahi, Mokhtar Attari, Fernando Seoane","Full Impedance Cardiography Measurement Device Using Raspberry PI3 and System-on-Chip Biomedical Instrumentation Solutions",2018,"Ieee Journal Of Biomedical And Health Informatics","Ieee-Inst Electrical Electronics Engineers Inc","","",50,"2024-08-22 16:58:01","Article","10.1109/JBHI.2017.2783949","2168-2194","",22,6,1883,1894,45,7.50,8,6,6,"Impedance cardiography (ICG) is a noninvasive method for monitoring cardiac dynamics using electrical bioimpedance (EBI) measurements. Since its appearance more than 40 years ago, ICG has been used for assessing hemodynamic parameters. This paper presents a measurement system based on two System on Chip (SoC) solutions and Raspberry PI, implementing both a full three-lead ECG recorder and an impedance cardiographer, for educational and research development purposes. Raspberry PI is a platform supporting Do-I t-Yourself project and education applications across the world. The development is part of Biosignal PI, an open hardware platform focusing in quick prototyping of physiological measurement instrumentation. The SoC used for sensing cardiac biopotential is the ADAS1000, and for the EBI measurement is the AD5933. The recordings were wirelessly transmitted through Bluetooth to a PC, where the waveforms were displayed, and hemodynamic parameters such as heart rate, stroke volume, ejection time and cardiac output were extracted from the ICG and ECG recordings. These results show how Raspberry PI can be used for quick prototyping using relatively widely available and affordable components, for supporting developers in research and engineering education. The design and development documents will be available on www.BiosignalPl.com, for open access under a Non Commercial-Share A like 4.0 International License.","",""
6,"Abdullahi Tsanni","African scientists leverage open hardware",2020,"Nature","Nature Research","","",356,"2024-08-22 16:58:01","Editorial Material","10.1038/d41586-020-01606-z","0028-0836","",582,7810,138,138,6,1.50,6,1,4,"","",""
34,"Abhiram Mullapudi, Matthew Bartos, Brandon Wong, Branko Kerkez","Shaping Streamflow Using a Real-Time Stormwater Control Network",2018,"Sensors","Mdpi","","",78,"2024-08-22 16:58:01","Article","10.3390/s18072259","1424-8220","",18,7,,,34,5.67,9,4,6,"""Smart"" water systems are transforming the field of stormwater management by enabling real-time monitoring and control of previously static infrastructure. While the localized benefits of active control are well-established, the potential for system-scale control of watersheds is poorly understood. This study shows how a real-world smart stormwater system can be leveraged to shape streamflow within an urban watershed. Specifically, we coordinate releases from two internet-controlled stormwater basins to achieve desired control objectives downstream such as maintaining the flow at a set-point, and generating interleaved waves. In the first part of the study, we describe the construction of the control network using a low-cost, open-source hardware stack and a cloud-based controller scheduling application. Next, we characterize the system's control capabilities by determining the travel times, decay times, and magnitudes of various waves released from the upstream retention basins. With this characterization in hand, we use the system to generate two desired responses at a critical downstream junction. First, we generate a set-point hydrograph, in which flow is maintained at an approximately constant rate. Next, we generate a series of overlapping and interleaved waves using timed releases from both retention basins. We discuss how these control strategies can be used to stabilize flows, thereby mitigating streambed erosion and reducing contaminant loads into downstream waterbodies.","",""
1,"Adam Garbo, Derek Mueller","Cryologger Ice Tracking Beacon: A Low-Cost, Open-Source Platform for Tracking Icebergs and Ice Islands",2024,"Sensors","Mdpi","","",561,"2024-08-22 16:58:01","Article","10.3390/s24041044","1424-8220","",24,4,,,1,1.00,1,2,1,"Icebergs and ice islands (large, tabular icebergs) present a significant hazard to marine vessels and infrastructure at a time when demand for access to Arctic waters is increasing. There is a growing demand for in situ iceberg tracking data to monitor their drift trajectories and improve models used for operational forecasting of ice hazards, yet the high cost of commercial tracking devices often prevents monitoring at optimal spatial and temporal resolutions. Here, we provide a detailed description of the Cryologger Ice Tracking Beacon (ITB), a low-cost, robust, and user-friendly data logger and telemeter for tracking icebergs and ice islands based on the Arduino open-source electronics platform. Designed for deployments of at least 2 years with an hourly sampling interval that is remotely modifiable by the end user, the Cryologger ITB provides long-term measurements of position, temperature, pressure, pitch, roll, heading, and battery voltage. Data are transmitted via the Iridium satellite network at user-specified intervals. We present the results of field campaigns in 2018 and 2019, which saw the deployment of 16 ITBs along the coasts of Greenland and Ellesmere and Baffin islands. The overall success of these ITB deployments has demonstrated that inexpensive, open-source hardware and software can provide a reliable and cost-effective method of monitoring icebergs and ice islands in the polar regions.","",""
