Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
51,"","Distributed Manufacturing of Open Source Medical Hardware for Pandemics",2020,"","","","",94,"2024-08-22 15:04:59","","10.20944/preprints202004.0054.v1","","",,,,,51,12.75,0,0,4,"Distributed digital manufacturing offers a solution to medical supply and technology shortages during pandemics. To prepare for the next pandemic, this study reviews the state-of-the-art of open hardware designs needed in a COVID-19-like pandemic. It evaluates the readiness of the top twenty technologies requested by the Government of India. The results show that the majority of the actual medical products have some open source development, however, only 15% of the supporting technologies required to produce them are freely available. The results show there is still considerable research needed to provide open source paths for the development of all the medical hardware needed during pandemics. Five core areas of future research are discussed, which include (i) technical development of a wide-range of open source solutions for all medical supplies and devices, (ii) policies that protect the productivity of laboratories, makerspaces, and fabrication facilities during a pandemic, as well as (iii) streamlining the regulatory process, (iv) developing Good-Samaritan laws to protect makers and designers of open medical hardware, as well as to compel those with knowledge that will save lives to share it, and (v) requiring all citizen-funded research to be released with free and open source licenses.","",""
118,"","HAWQ-V3: Dyadic Neural Network Quantization",2021,"","","","",520,"2024-08-22 15:04:59","","","","",,,,,118,39.33,0,0,3,"A number of frameworks (Abadi et al., 2016; Chen et al., 2015; 2018; Gulli & Pal, 2017; Jia et al., 2014; Paszke et al., 2017; Seide & Agarwal, 2016; Vasilache et al., 2018) have been developed for deep learning. Many (Abadi et al., 2016; Chen et al., 2015; Jia et al., 2014; Paszke et al., 2017) offer a dataflow DAG abstraction for specifying NN workloads and provide optimization support for inference as well as training with automatic differentiation. These frameworks significantly reduce development cycles for deep learning algorithms and thus facilitate innovations in deep learning. However, a majority of these frameworks (Chen et al., 2015; Jia et al., 2014; Paszke et al., 2017) adopt a library-based approach that maps the NN operations to hardware through existing high-performance libraries, such as cuDNN (Chetlur et al., 2014) for GPUs, and GEMMLOWP (Jacob et al., 2017) and NNPACK (Dukhan, 2016) for CPUs. These libraries currently do not support low-precision inference (INT4), and since they are not open source we could not add that functionality. As such, for our analysis we adopted to use TVM (Chen et al., 2018), which provides a general graph and a tensor expression intermediate representation (IR) to support automatic code transformation and generation. TVM also equips a QNN dialect (Jain et al., 2020) to compile the quantization-specific operators of a quantized model. We choose TVM as our deployment framework for several reasons including: (i) its extensive support in the frontend high-level frameworks and the backend hardware platforms; and (ii) its decoupled IR abstraction that separates the algorithm specifications and the scheduling decisions. Augmenting TVM with our mixed-precision quantization support allows this optimization to be used by NNs written in different frameworks as well as for various target hardware platforms. In addition, the decoupled IR design in TVM allows the mixed-precision quantization optimization to be applied without affecting the specification of algorithms.","",""
235,"A. Ainla, Maral P. S. Mousavi, M. Tsaloglou, Julia Redston, Jeffrey G Bell, M. T. Fernández-Abedul, G. Whitesides","Open-Source Potentiostat for Wireless Electrochemical Detection with Smartphones",2018,"","","","",229,"2024-08-22 15:04:59","","10.1021/acs.analchem.8b00850","","",,,,,235,39.17,34,7,6,"This paper describes the design and characterization of an open-source “universal wireless electrochemical detector” (UWED). This detector interfaces with a smartphone (or a tablet) using “Bluetooth Low Energy” protocol; the smartphone provides (i) a user interface for receiving the experimental parameters from the user and visualizing the result in real time, and (ii) a proxy for storing, processing, and transmitting the data and experimental protocols. This approach simplifies the design, and decreases both the size and the cost of the hardware; it also makes the UWED adaptable to different types of analyses by simple modification of the software. The UWED can perform the most common electroanalytical techniques of potentiometry, chronoamperometry, cyclic voltammetry, and square wave voltammetry, with results closely comparable to benchtop commercial potentiostats. Although the operating ranges of electrical current and voltage of the UWED (±1.5 V, ±180 μA) are more limited than most benchtop commercial potentiostats, its functional range is sufficient for most electrochemical analyses in aqueous solutions. Because the UWED is simple, small in size, assembled from inexpensive components, and completely wireless, it offers new opportunities for the development of affordable diagnostics, sensors, and wearable devices.","",""
19,"A. Alami, Y. Dittrich, A. Wąsowski","Influencers of Quality Assurance in an Open Source Community",2018,"","","","",267,"2024-08-22 15:04:59","","10.1145/3195836.3195853","","",,,,,19,3.17,6,3,6,"ROS (Robot Operating System) is an open source community in robotics that is developing standard robotics operating system facilities such as hardware abstraction, low-level device control, communication middleware, and a wide range of software components for robotics functionality. This paper studies the quality assurance practices of the ROS community. We use qualitative methods to understand how ideology, priorities of the community, culture, sustainability, complexity, and adaptability of the community affect the implementation of quality assurance practices. Our analysis suggests that software engineering practices require social and cultural alignment and adaptation to the community particularities to achieve seamless implementation in open source environments. This alignment should be incorporated into the design and implementation of quality assurance practices in open source communities.","",""
43,"A. Ali, C. Cote, Mohammad Heidarinejad, B. Stephens","Elemental: An Open-Source Wireless Hardware and Software Platform for Building Energy and Indoor Environmental Monitoring and Control",2019,"","","","",110,"2024-08-22 15:04:59","","10.3390/s19184017","","",,,,,43,8.60,11,4,5,"This work demonstrates an open-source hardware and software platform for monitoring the performance of buildings, called Elemental, that is designed to provide data on indoor environmental quality, energy usage, HVAC operation, and other factors to its users. It combines: (i) custom printed circuit boards (PCBs) with RFM69 frequency shift keying (FSK) radio frequency (RF) transceivers for wireless sensors, control nodes, and USB gateway, (ii) a Raspberry Pi 3B with custom firmware acting as either a centralized or distributed backhaul, and (iii) a custom dockerized application for the backend called Brood that serves as the director software managing message brokering via Message Queuing Telemetry Transport (MQTT) protocol using VerneMQ, database storage using InfluxDB, and data visualization using Grafana. The platform is built around the idea of a private, secure, and open technology for the built environment. Among its many applications, the platform allows occupants to investigate anomalies in energy usage, environmental quality, and thermal performance via a comprehensive dashboard with rich querying capabilities. It also includes multiple frontends to view and analyze building activity data, which can be used directly in building controls or to provide recommendations on how to increase operational efficiency or improve operating conditions. Here, we demonstrate three distinct applications of the Elemental platform, including: (1) deployment in a research lab for long-term data collection and automated analysis, (2) use as a full-home energy and environmental monitoring solution, and (3) fault and anomaly detection and diagnostics of individual building systems at the zone-level. Through these applications we demonstrate that the platform allows easy and virtually unlimited datalogging, monitoring, and analysis of real-time sensor data with low setup costs. Low-power sensor nodes placed in abundance in a building can also provide precise and immediate fault-detection, allowing for tuning equipment for more efficient operation and faster maintenance during the lifetime of the building.","",""
33,"A. Bianco, J. Finochietto, G. Galante, M. Mellia, F. Neri","Open-Source PC-Based Software Routers: A Viable Approach to High-Performance Packet Switching",2005,"","","","",462,"2024-08-22 15:04:59","","10.1007/978-3-540-30573-6_27","","",,,,,33,1.74,7,5,19,"","",""
47,"A. Bianco, R. Birke, D. Bolognesi, J. Finochietto, G. Galante, M. Mellia, M.L.N.P.P. Prashant, Ferrante Neri","Click vs. Linux: two efficient open-source IP network stacks for software routers",2005,"","","","",457,"2024-08-22 15:04:59","","10.1109/HPSR.2005.1503186","","",,,,,47,2.47,6,8,19,"Software routers based on off-the-shelf hardware and open-source operating systems are gaining more and more momentum. The reasons are manifold: first, personal computer (PC) hardware is broadly available at low cost; second, large-scale production and the huge market spur the manufacturers to closely track the improvements made available by Moore's Law; third, open-source software leaves the freedom to study the source code, learn from it, modify it to improve the performance, and tailor its operation to one's own needs. In this paper we focus only on the data plane performance and compare the default Linux IP stack with the Click modular IP stack in terms of the forwarding throughput. The results are surprising and show that a high-end PC is easily able to fit into the multi-Gigabit-per-second routing segment, for a price much lower than commercial routers.","",""
30,"A. Bonaccorsi, Cristina Rossi Lamastra, S. Giannangeli","Adaptive Entry Strategies Under Dominant Standards - Hybrid Business Models in the Open Source Software Industry",2004,"","","","",464,"2024-08-22 15:04:59","","10.2139/ssrn.519842","","",,,,,30,1.50,10,3,20,"During the '60s and the '70s, basically all software was Open Source and everyone was allowed to copy, modify and redistribute computer programs. When software ceased to be hardware-specific and the diffusion of computers took off, firms started to produce software independently from hardware and to protect their code through intellectual property rights. At present, a turnaround is taking place: the Open Source production mode is spreading across the software industry and, in some cases, it performs even better than the traditional proprietary one. Although a growing body of literature is analyzing Open Source software (OSS) issues, there is still lack of empirical data on the phenomenon, and little is known about firms that enter the software industry by producing under the Open Source license scheme (Open Source firms). This paper is a contribution to fill this gap and focuses on the business models of these firms. We find significant heterogeneity among them, in particular many agents supply both proprietary and Open Source software. We present a model of adoption that studies the intra-firm diffusion of the new paradigm. Explanatory hypotheses are discussed analyzing how the characteristics of the Open Source production mode and of network externalities in software demand shape the strategies of firms that entered the OSS field.","",""
48,"A. Bustamante, M. A. Patricio, J. M. Molina","Thinger.io: An Open Source Platform for Deploying Data Fusion Applications in IoT Environments",2019,"","","","",880,"2024-08-22 15:04:59","","10.3390/s19051044","","",,,,,48,9.60,16,3,5,"In the last two decades, data and information fusion has experienced significant development due mainly to advances in sensor technology. The sensors provide a continuous flow of data about the environment in which they are deployed, which is received and processed to build a dynamic estimation of the situation. With current technology, it is relatively simple to deploy a set of sensors in a specific geographic area, in order to have highly sensorized spaces. However, to be able to fusion and process the information coming from the data sources of a highly sensorized space, it is necessary to solve certain problems inherent to this type of technology. The challenge is analogous to what we can find in the field of the Internet of Things (IoT). IoT technology is characterized by providing the infrastructure capacity to capture, store, and process a huge amount of heterogeneous sensor data (in most cases, from different manufacturers), in the same way that it occurs in data fusion applications. This work is not simple, mainly due to the fact that there is no standardization of the technologies involved (especially within the communication protocols used by the connectable sensors). The solutions that we can find today are proprietary solutions that imply an important dependence and a high cost. The aim of this paper is to present a new open source platform with capabilities for the collection, management and analysis of a huge amount of heterogeneous sensor data. In addition, this platform allows the use of hardware-agnostic in a highly scalable and cost-effective manner. This platform is called Thinger.io. One of the main characteristics of Thinger.io is the ability to model sensorized environments through a high level language that allows a simple and easy implementation of data fusion applications, as we will show in this paper.","",""
180,"A. C. Jiménez","The Right to Infrastructure: A Prototype for Open Source Urbanism",2014,"","","","",321,"2024-08-22 15:04:59","","10.1068/d13077p","","",,,,,180,18.00,180,1,10,"This paper develops an analytical framework to place the rise of open source urbanism in context, and develops the concept of the ‘right to infrastructure’ as expressive of new ecologies of urban relations that have come into being. It describes, first, a genealogy for open source technology, focusing in particular on how open source urban hardware projects may challenge urban theory. It moves then to describe in detail various dimensions and implications of an open source infrastructural project in Madrid. In all, the paper analyses three challenges that the development of open source urban infrastructures is posing to the institutions of urban governance and property: the evolving shape and composition of urban ecologies; the technical and design challenges brought about by open source urban projects; and the social organisation of the ‘right to infrastructure’ as a political, active voice in urban governance. In the last instance, the right to infrastructure, I shall argue, signals the rise of the ‘prototype’ as an emerging figure for contemporary sociotechnical designs in and for social theory.","",""
